Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+003,-1.15191028365e+002
+1.01800975118e+003,-1.15269986790e+002
+1.03634385350e+003,-1.16196555844e+002
+1.05500814844e+003,-1.16273683664e+002
+1.07400858268e+003,-1.16369241885e+002
+1.09335121002e+003,-1.16004624829e+002
+1.11304219327e+003,-1.16079696120e+002
+1.13308780622e+003,-1.16051039129e+002
+1.15349443568e+003,-1.16458450288e+002
+1.17426858345e+003,-1.16520783918e+002
+1.19541686846e+003,-1.16625409537e+002
+1.21694602882e+003,-1.17022190369e+002
+1.23886292399e+003,-1.17082984176e+002
+1.26117453700e+003,-1.16847626091e+002
+1.28388797661e+003,-1.16781919853e+002
+1.30701047961e+003,-1.16861856979e+002
+1.33054941314e+003,-1.16978552538e+002
+1.35451227700e+003,-1.17003120699e+002
+1.37890670608e+003,-1.16792423538e+002
+1.40374047276e+003,-1.16817404118e+002
+1.42902148939e+003,-1.16718472985e+002
+1.45475781085e+003,-1.16779651297e+002
+1.48095763705e+003,-1.16878731200e+002
+1.50762931560e+003,-1.16991972405e+002
+1.53478134445e+003,-1.17015237725e+002
+1.56242237458e+003,-1.17314562042e+002
+1.59056121278e+003,-1.17123223326e+002
+1.61920682446e+003,-1.16598342284e+002
+1.64836833648e+003,-1.16477035045e+002
+1.67805504007e+003,-1.16966958851e+002
+1.70827639381e+003,-1.17089499108e+002
+1.73904202661e+003,-1.16472402022e+002
+1.77036174080e+003,-1.16452124101e+002
+1.80224551525e+003,-1.16709552005e+002
+1.83470350855e+003,-1.16663514973e+002
+1.86774606222e+003,-1.16380167503e+002
+1.90138370407e+003,-1.16292216744e+002
+1.93562715148e+003,-1.16240048234e+002
+1.97048731486e+003,-1.16102965516e+002
+2.00597530110e+003,-1.16224145337e+002
+2.04210241715e+003,-1.16310394473e+002
+2.07888017356e+003,-1.16050598762e+002
+2.11632028822e+003,-1.16123970630e+002
+2.15443469003e+003,-1.15701862715e+002
+2.19323552273e+003,-1.16211433960e+002
+2.23273514878e+003,-1.16012217245e+002
+2.27294615326e+003,-1.15796265432e+002
+2.31388134792e+003,-1.15816222617e+002
+2.35555377526e+003,-1.15397040193e+002
+2.39797671264e+003,-1.15329044181e+002
+2.44116367658e+003,-1.15408286081e+002
+2.48512842698e+003,-1.15708948303e+002
+2.52988497160e+003,-1.15190466391e+002
+2.57544757045e+003,-1.15424130958e+002
+2.62183074038e+003,-1.15218543690e+002
+2.66904925965e+003,-1.15101731430e+002
+2.71711817270e+003,-1.14916564288e+002
+2.76605279492e+003,-1.14756025716e+002
+2.81586871751e+003,-1.14498732144e+002
+2.86658181246e+003,-1.14115791822e+002
+2.91820823764e+003,-1.14413844994e+002
+2.97076444190e+003,-1.14292363300e+002
+3.02426717031e+003,-1.13685002971e+002
+3.07873346955e+003,-1.13667769785e+002
+3.13418069329e+003,-1.13445249749e+002
+3.19062650773e+003,-1.12958754462e+002
+3.24808889724e+003,-1.12898140624e+002
+3.30658617009e+003,-1.12579408436e+002
+3.36613696427e+003,-1.12398116816e+002
+3.42676025343e+003,-1.12078067267e+002
+3.48847535295e+003,-1.12212658369e+002
+3.55130192606e+003,-1.11940875281e+002
+3.61525999011e+003,-1.11241217282e+002
