Offset Frequency (Hz),AM Noise (dBc/Hz)
+1.00000000000e+003,-1.23800111670e+002
+1.01800975118e+003,-1.23800111670e+002
+1.03634385350e+003,-1.24460622088e+002
+1.05500814844e+003,-1.24460622088e+002
+1.07400858268e+003,-1.25014719636e+002
+1.09335121002e+003,-1.24701737771e+002
+1.11304219327e+003,-1.24701737771e+002
+1.13308780622e+003,-1.24552619095e+002
+1.15349443568e+003,-1.24539982573e+002
+1.17426858345e+003,-1.24539982573e+002
+1.19541686846e+003,-1.24851778722e+002
+1.21694602882e+003,-1.24979400963e+002
+1.23886292399e+003,-1.24979400963e+002
+1.26117453700e+003,-1.25394237309e+002
+1.28388797661e+003,-1.25222509618e+002
+1.30701047961e+003,-1.25184035099e+002
+1.33054941314e+003,-1.25393601031e+002
+1.35451227700e+003,-1.25393601030e+002
+1.37890670608e+003,-1.25696751410e+002
+1.40374047276e+003,-1.25592403922e+002
+1.42902148939e+003,-1.25545950632e+002
+1.45475781085e+003,-1.25805812846e+002
+1.48095763705e+003,-1.26099019891e+002
+1.50762931560e+003,-1.26028114388e+002
+1.53478134445e+003,-1.26028114388e+002
+1.56242237458e+003,-1.26264323622e+002
+1.59056121278e+003,-1.26625402147e+002
+1.61920682446e+003,-1.26711318492e+002
+1.64836833648e+003,-1.26848357435e+002
+1.67805504007e+003,-1.26693204320e+002
+1.70827639381e+003,-1.26909303438e+002
+1.73904202661e+003,-1.26928583674e+002
+1.77036174080e+003,-1.26766286018e+002
+1.80224551525e+003,-1.27280546701e+002
+1.83470350855e+003,-1.26812292545e+002
+1.86774606222e+003,-1.26720330149e+002
+1.90138370407e+003,-1.26706323653e+002
+1.93562715148e+003,-1.26933257902e+002
+1.97048731486e+003,-1.27052301127e+002
+2.00597530110e+003,-1.27264799405e+002
+2.04210241715e+003,-1.27939549912e+002
+2.07888017356e+003,-1.27669856481e+002
+2.11632028822e+003,-1.27905388392e+002
+2.15443469003e+003,-1.27462403178e+002
+2.19323552273e+003,-1.27671497737e+002
+2.23273514878e+003,-1.27747368725e+002
+2.27294615326e+003,-1.27727183375e+002
+2.31388134792e+003,-1.28040675780e+002
+2.35555377526e+003,-1.27577424799e+002
+2.39797671264e+003,-1.28311666652e+002
+2.44116367658e+003,-1.27983262482e+002
+2.48512842698e+003,-1.28469532229e+002
+2.52988497160e+003,-1.27819392633e+002
+2.57544757045e+003,-1.27885009505e+002
+2.62183074038e+003,-1.27566165841e+002
+2.66904925965e+003,-1.28116242392e+002
+2.71711817270e+003,-1.27498781064e+002
+2.76605279492e+003,-1.28019067554e+002
+2.81586871751e+003,-1.28472795343e+002
+2.86658181246e+003,-1.28500439461e+002
+2.91820823764e+003,-1.27838645951e+002
+2.97076444190e+003,-1.27413006702e+002
+3.02426717031e+003,-1.27960845412e+002
+3.07873346955e+003,-1.27925739597e+002
+3.13418069329e+003,-1.27856181383e+002
+3.19062650773e+003,-1.27815857444e+002
+3.24808889724e+003,-1.27193596205e+002
+3.30658617009e+003,-1.27896474975e+002
+3.36613696427e+003,-1.28317884269e+002
+3.42676025343e+003,-1.28062018645e+002
+3.48847535295e+003,-1.28365707509e+002
+3.55130192606e+003,-1.28609365393e+002
+3.61525999011e+003,-1.28549725545e+002
