Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+003,-1.05959054953e+002
+1.01800975118e+003,-1.06038013377e+002
+1.03634385350e+003,-1.08465157033e+002
+1.05500814844e+003,-1.08542284852e+002
+1.07400858268e+003,-1.08995278533e+002
+1.09335121002e+003,-1.11301994553e+002
+1.11304219327e+003,-1.11377065845e+002
+1.13308780622e+003,-1.11442012073e+002
+1.15349443568e+003,-1.11345476728e+002
+1.17426858345e+003,-1.11407810358e+002
+1.19541686846e+003,-1.09207330455e+002
+1.21694602882e+003,-1.05607426713e+002
+1.23886292399e+003,-1.05668220520e+002
+1.26117453700e+003,-1.05191399937e+002
+1.28388797661e+003,-1.04992232559e+002
+1.30701047961e+003,-1.06430216290e+002
+1.33054941314e+003,-1.07653799092e+002
+1.35451227700e+003,-1.07678367253e+002
+1.37890670608e+003,-1.09867057745e+002
+1.40374047276e+003,-1.11364050307e+002
+1.42902148939e+003,-1.09830051329e+002
+1.45475781085e+003,-1.09281934111e+002
+1.48095763705e+003,-1.09473658429e+002
+1.50762931560e+003,-1.10286632079e+002
+1.53478134445e+003,-1.10309897399e+002
+1.56242237458e+003,-1.13287312079e+002
+1.59056121278e+003,-1.13824019893e+002
+1.61920682446e+003,-1.10669571686e+002
+1.64836833648e+003,-1.07664106735e+002
+1.67805504007e+003,-1.06228175548e+002
+1.70827639381e+003,-1.05616927064e+002
+1.73904202661e+003,-1.07818728132e+002
+1.77036174080e+003,-1.09670121393e+002
+1.80224551525e+003,-1.09629738716e+002
+1.83470350855e+003,-1.07862817039e+002
+1.86774606222e+003,-1.07808753530e+002
+1.90138370407e+003,-1.10209660352e+002
+1.93562715148e+003,-1.09488482018e+002
+1.97048731486e+003,-1.08978146255e+002
+2.00597530110e+003,-1.06911856152e+002
+2.04210241715e+003,-1.07413448266e+002
+2.07888017356e+003,-1.09215439607e+002
+2.11632028822e+003,-1.09967061281e+002
+2.15443469003e+003,-1.08871526889e+002
+2.19323552273e+003,-1.07654046054e+002
+2.23273514878e+003,-1.07839109995e+002
