Offset Frequency (Hz),Phase Noise (dBc/Hz)
+1.00000000000e+003,-1.04801181798e+002
+1.01800975118e+003,-1.04880140223e+002
+1.03634385350e+003,-1.07080504693e+002
+1.05500814844e+003,-1.07157632513e+002
+1.07400858268e+003,-1.07769429855e+002
+1.09335121002e+003,-1.09139426783e+002
+1.11304219327e+003,-1.09214498074e+002
+1.13308780622e+003,-1.08979666042e+002
+1.15349443568e+003,-1.09107771527e+002
+1.17426858345e+003,-1.09170105157e+002
+1.19541686846e+003,-1.08038122500e+002
+1.21694602882e+003,-1.05182078101e+002
+1.23886292399e+003,-1.05242871908e+002
+1.26117453700e+003,-1.04785653338e+002
+1.28388797661e+003,-1.04484383068e+002
+1.30701047961e+003,-1.05706294988e+002
+1.33054941314e+003,-1.06709726465e+002
+1.35451227700e+003,-1.06734294626e+002
+1.37890670608e+003,-1.08376021571e+002
+1.40374047276e+003,-1.09300612832e+002
+1.42902148939e+003,-1.08258191310e+002
+1.45475781085e+003,-1.08218447810e+002
+1.48095763705e+003,-1.08259183905e+002
+1.50762931560e+003,-1.08866435198e+002
+1.53478134445e+003,-1.08889700518e+002
+1.56242237458e+003,-1.10916606388e+002
+1.59056121278e+003,-1.11098145750e+002
+1.61920682446e+003,-1.09239375190e+002
+1.64836833648e+003,-1.06721018759e+002
+1.67805504007e+003,-1.05512328994e+002
+1.70827639381e+003,-1.04874522923e+002
+1.73904202661e+003,-1.06932712994e+002
+1.77036174080e+003,-1.08436207403e+002
+1.80224551525e+003,-1.08235164485e+002
+1.83470350855e+003,-1.07196338635e+002
+1.86774606222e+003,-1.06680953271e+002
+1.90138370407e+003,-1.08266077397e+002
+1.93562715148e+003,-1.07638269229e+002
+1.97048731486e+003,-1.07088385816e+002
+2.00597530110e+003,-1.05474787579e+002
+2.04210241715e+003,-1.06018017500e+002
+2.07888017356e+003,-1.07090785754e+002
+2.11632028822e+003,-1.07476333801e+002
+2.15443469003e+003,-1.06791439752e+002
+2.19323552273e+003,-1.06318123821e+002
+2.23273514878e+003,-1.06343020862e+002
+2.27294615326e+003,-1.08171008456e+002
+2.31388134792e+003,-1.06376812151e+002
+2.35555377526e+003,-1.05334471530e+002
+2.39797671264e+003,-1.06540282152e+002
+2.44116367658e+003,-1.08212323223e+002
+2.48512842698e+003,-1.07479515344e+002
+2.52988497160e+003,-1.05457987277e+002
+2.57544757045e+003,-1.04556820208e+002
+2.62183074038e+003,-1.05114557040e+002
+2.66904925965e+003,-1.05668066678e+002
+2.71711817270e+003,-1.05077025541e+002
+2.76605279492e+003,-1.06036331942e+002
+2.81586871751e+003,-1.06519245224e+002
+2.86658181246e+003,-1.06283591606e+002
+2.91820823764e+003,-1.05837672206e+002
+2.97076444190e+003,-1.05511214722e+002
+3.02426717031e+003,-1.05402963027e+002
+3.07873346955e+003,-1.06346787971e+002
+3.13418069329e+003,-1.06923769757e+002
+3.19062650773e+003,-1.08425197378e+002
+3.24808889724e+003,-1.08273429416e+002
+3.30658617009e+003,-1.08942012434e+002
+3.36613696427e+003,-1.09188563119e+002
+3.42676025343e+003,-1.05806964300e+002
